bsn,name,rah,ram,ras,decd,decm,decs,glon,glat,vmag,vmag rank,spectype,specnum
2892,,7,30,31,-54,23,58,266.20,-16.43,5.96,4842,M1III,6
3288,,8,22,54,-7,32,36,230.69,16.44,5.96,4843,M1III,6
4497,,11,40,43,-53,58,7,292.55,7.47,5.96,4851,M1III,6
4156,Phi2Hya,10,36,17,-16,20,40,261.94,35.55,6.03,5218,M1III,6
955,,3,11,19,-3,48,42,184.19,-49.29,6.05,5299,M1III,6
5496,,14,45,12,-1,25,4,351.32,50.45,6.07,5454,M1III,6
735,,2,30,33,-22,32,44,206.86,-67.09,6.10,5584,M1III,6
355,,1,12,34,45,20,16,126.82,-17.37,6.11,5647,M1III,6
904,7    Eri,3,0,51,-2,52,43,180.47,-50.70,6.11,5653,M1III,6
2458,,6,41,17,11,0,12,201.98,2.77,6.11,5667,M1III,6
4445,,11,32,23,-26,44,48,281.86,32.87,6.16,6028,M1III,6
7825,,20,29,31,-22,23,30,21.90,-31.01,6.16,6052,M1III,6
3618,,9,6,60,1,27,46,228.52,30.51,6.17,6085,M1III,6
2976,,7,41,24,-22,20,14,238.36,0.27,6.18,6153,M1III,6
5995,,16,3,9,59,24,39,91.19,44.11,6.19,6247,M1III,6
7771,,20,19,29,13,13,1,55.22,-12.74,6.21,6393,M1III,6
5043,,13,23,9,-33,11,24,310.53,29.21,6.22,6445,M1III,6
2337,,6,23,1,-63,40,59,273.28,-27.23,6.27,6744,M1III,6
7745,,20,18,56,-47,42,39,351.87,-34.08,6.31,7078,M1III,6
8057,,21,3,2,14,43,48,62.77,-20.58,6.31,7080,M1III,6
3296,,8,23,17,-38,17,9,256.65,-0.57,6.32,7121,M1III,6
2393,,6,31,35,-36,56,24,245.23,-19.61,6.34,7276,M1III,6
3155,,8,2,6,-37,3,2,253.31,-3.39,6.34,7287,M1III,6
4202,41    UMa,10,46,23,57,21,57,150.36,52.58,6.34,7292,M1III,6
4346,,11,12,15,-32,26,2,279.75,25.93,6.38,7600,M1III,6
7394,Lam UMi,17,16,57,89,2,16,121.94,27.51,6.38,7623,M1III,6
8121,,21,14,37,0,5,32,51.22,-31.32,6.38,7631,M1III,6
6587,,17,43,7,-33,3,4,356.21,-1.70,6.40,7768,M1III,6
3930,,9,56,5,-40,49,29,270.68,10.82,6.41,7832,M1III,6
